"","X","sg_d_bg","sg_d_nd","lat","lon","nght_fl","landcvr","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rgh","cn_unc","cn_pho","toc_pho","sb_cn__","beam","filenam","year","month","day","hhmmss","RH_100_ALS","RH_99_ALS","RH_98_ALS","RH_95_ALS","RH_75_ALS","RH_50_ALS","RH_25_ALS"
"87",1156120,194924,194928,35.1386222839355,-111.56958770752,1,111,10.9023952484131,20.98974609375,20.98974609375,13.17578125,1.41552734375,1.65478515625,2.52685546875,2.83056640625,4.8251953125,6.743408203125,11.147216796875,13.050048828125,13.17578125,6.69168472290039,1.63833260536194,96.4667510986328,32,11,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,29.064,23.27466,21.754,19.2993,13.357,8.977,0.028
"88",1156121,194929,194933,35.1395225524902,-111.569694519043,1,111,9.47469234466553,25.61328125,21.248779296875,8.3311767578125,1.3369140625,2.21923828125,3.24951171875,4.39794921875,5.198974609375,5.306396484375,6.905029296875,8.13330078125,8.187744140625,6.25600051879883,2.39130640029907,227.749053955078,47,3,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,30.696,27.22684,25.42172,23.1738,14.909,9.16,0.602
"89",1156122,194939,194943,35.1413192749023,-111.56990814209,1,111,7.66606330871582,17.6904296875,17.6904296875,6.322021484375,1.00048828125,1.1201171875,1.4111328125,1.82421875,2.914794921875,3.47314453125,4.13720703125,5.385986328125,6.322021484375,5.89202308654785,1.09551727771759,96.3195114135742,32,9,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,21.271,18.83054,18.04744,16.7668,9.939,2.597,0
"90",1156123,194944,194948,35.142219543457,-111.570007324219,1,111,7.49121856689453,18.134521484375,18.134521484375,8.36181640625,0.7060546875,0.732177734375,0.91064453125,0.9912109375,1.0048828125,1.201416015625,1.540283203125,3.439208984375,8.36181640625,6.43665218353271,0.962629079818726,93.3969268798828,26,7,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,23.07,20.16396,18.36724,16.3402,11.632,5.395,0
"91",1156124,194949,194953,35.1431198120117,-111.570121765137,1,111,5.79226875305176,14.871826171875,14.871826171875,4.7314453125,0.760009765625,0.83984375,0.999267578125,1.208984375,1.448486328125,1.667236328125,2.27490234375,3.874755859375,4.7314453125,4.60045576095581,0.731027603149414,142.155258178711,41,4,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,20.913,17.29658,16.09052,14.7077,8.86,3.164,0.011
"92",1156125,194954,194958,35.1440162658691,-111.57022857666,1,111,6.27366733551025,16.278076171875,14.57470703125,5.12890625,0.798095703125,0.88232421875,1.2041015625,1.371826171875,1.970703125,2.384765625,3.008544921875,3.31884765625,5.12890625,4.90118312835693,1.04843378067017,96.3257369995117,43,8,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,19.527,17.00508,16.4561,15.094,9.968,4.336,0.008
"93",1156126,194959,194963,35.1449165344238,-111.570327758789,1,111,7.84317636489868,19.894287109375,19.894287109375,4.46826171875,1.22216796875,1.5048828125,1.891357421875,2.17529296875,2.444091796875,3.07763671875,3.426025390625,3.5634765625,4.46826171875,6.27063417434692,1.56946873664856,175.594757080078,36,7,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,21.395,18.046,17.39538,16.12345,11.855,6.6665,0
"94",1156127,194974,194978,35.1476135253906,-111.570655822754,1,116,10.9024877548218,23.43896484375,21.38916015625,10.417724609375,4.162841796875,4.6856689453125,5.74560546875,6.770751953125,8.0469970703125,8.8802490234375,9.2587890625,9.827880859375,10.400390625,5.1998929977417,4.27119970321655,177.297470092773,61,11,4,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,16.731,10.88912,8.72029999999999,6.8923,2.85625,0.4195,0
"95",1156128,194979,194983,35.1485137939453,-111.570762634277,1,121,5.50635480880737,21.0970458984375,13.62060546875,5.166259765625,1.65673828125,1.906005859375,2.44384765625,2.48291015625,2.8280029296875,3.26171875,4.180908203125,4.68603515625,5.0670166015625,3.70972204208374,3.7805290222168,224.028213500977,49,3,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,16.478,11.55806,10.7076,8.2253,4.535,1.471,0.028
"96",1156129,194984,194988,35.1494140625,-111.570861816406,1,121,4.94863700866699,12.78564453125,12.014892578125,4.6585693359375,1.442138671875,1.598388671875,1.87060546875,1.98388671875,2.12158203125,2.781005859375,3.538818359375,4.049560546875,4.342529296875,3.08941197395325,2.14734888076782,3.40282346638529e+23,36,24,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,16.663,14.90404,14.14202,12.41305,6.64175,2.1045,0
"97",1156130,194994,194998,35.1512145996094,-111.571075439453,1,121,3.85902619361877,12.1083984375,12.1083984375,3.703369140625,0.698486328125,0.906005859375,1.037109375,1.13818359375,1.23681640625,1.459716796875,1.74560546875,3.244873046875,3.703369140625,3.01242613792419,1.4867490530014,107.179664611816,29,6,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,16.962,12.2877,10.99,9.23,5.413,2.482,0
