"","X.1","X","sg_d_bg","sg_d_nd","lat","lon","nght_fl","landcvr","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rgh","cn_unc","cn_pho","toc_pho","cn_flag","sb_cn_1","sb_cn_2","sb_cn_3","sb_cn_4","sb_cn_5","ls_flag","beam","filenam","year","month","day","hhmmss","RH_100_ALS","RH_99_ALS","RH_98_ALS","RH_95_ALS","RH_75_ALS","RH_50_ALS","RH_25_ALS","ALS_all_grid","ALS_abvg_grid"
"3002",3728,1538714,639505,639509,65.1442489624023,-147.408432006836,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,0,0,1,0,0,0,0,0,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,4.48,0,0,0,0,0,0,4.48,4.48
"3003",372,78698,362827,362831,65.2330169677734,-147.419570922852,0,8,2.28933310508728,16.1569213867188,13.250244140625,1.21902465820312,0.81689453125,1.2154541015625,1.47528076171875,1.7633056640625,1.9854736328125,2.6566162109375,3.44769287109375,5.242919921875,10.1594848632812,2.90228343009949,0.968719482421875,6.87754058837891,134,2,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5",2019,3,13,175422,7.37,3.98060000000001,3.35,2.72,0,0,0,2.08234741784038,2.12949579831933
"3004",3729,1538715,639510,639514,65.1433563232422,-147.408660888672,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,0,0,1,0,0,0,0,0,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,7.99,0,0,0,0,0,0,3.82571428571429,3.82571428571429
"3005",3730,1538716,639515,639519,65.142463684082,-147.408905029297,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,0,0,1,0,0,0,0,0,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,7.08,0,0,0,0,0,0,4.37,4.37
"3006",3731,1538717,639520,639524,65.1415710449219,-147.409133911133,1,7,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,0,0,1,0,0,0,0,0,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,3.1,0,0,0,0,0,0,3.04,3.04
"3007",3734,1538720,639535,639539,65.1388931274414,-147.409820556641,1,7,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,0,0,1,0,0,0,0,0,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,11.33,5.47,4.38,2.68849999999999,0,0,0,3.34309392265193,3.36216666666667
"3008",3735,1538721,639540,639544,65.1380004882812,-147.410064697266,1,7,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,0,0,1,0,0,0,0,0,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,15.11,8.08,6.7584,4.616,0,0,0,3.82451403887689,3.87417943107221
"3009",3737,1538723,639550,639554,65.1362152099609,-147.410507202148,1,8,1.77255403995514,4.27696228027344,4.27696228027344,1.36405944824219,0.745941162109375,1.36405944824219,1.87446594238281,2.13710021972656,2.7239990234375,2.81306457519531,3.61199951171875,3.79142761230469,4.27696228027344,1.1371853351593,0.527292728424072,3.32972073554993,15,4,1,0,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,10.51,4.39,3.85,2.76,0,0,0,2.30455128205128,2.37844370860927
"3010",3738,1538724,639555,639559,65.1353302001953,-147.410751342773,1,8,2.62976670265198,5.67002868652344,5.48570251464844,2.49128723144531,1.70011901855469,2.49128723144531,2.85926818847656,3.08625793457031,3.19041442871094,3.3760986328125,3.56294250488281,3.93060302734375,4.58763122558594,1.02778112888336,0.81386798620224,4.37365531921387,22,43,1,1,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,5.89,4.37,3.93,3.26,0.1825,0,0,1.72900432900433,1.81725341426404
"3011",373,78699,362832,362836,65.2339096069336,-147.419815063477,0,8,2.39990544319153,13.29345703125,12.3607177734375,1.38983154296875,0.95013427734375,1.38983154296875,1.712158203125,2.149169921875,2.62481689453125,2.9261474609375,3.6109619140625,4.98583984375,9.04705810546875,2.63387370109558,0,8.38022422790527,140,1,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5",2019,3,13,175422,7.69,5.6294,4.7494,3.06699999999999,0,0,0,2.10302752293578,2.24870703764321
