"","seg_id_beg","seg_id_end","lat","lon","night_flag","landcover","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rough","cn_unc","cn_pho","toc_pho","cn_flag","sub_cn_flag1","sub_cn_flag2","sub_cn_flag3","sub_cn_flag4","sub_cn_flag5","ls_flag","beam","filename","year","month","day","hhmmss"
"70160",639524,639528,65.1296081542969,-147.659484863281,1,8,1.06227266788483,3.08139038085938,2.65283203125,0.877685546875,0.709503173828125,0.877685546875,1.01712036132812,1.1729736328125,1.26602172851562,1.40966796875,1.50152587890625,1.87265014648438,2.40451049804688,0.543200194835663,0.299492806196213,1.97532451152802,145,8,1,1,1,1,1,1,0,"1l","ATL08_20190226071235_09140205_003_01.h5","2019","02","26","071235"
"70161",639529,639533,65.1287155151367,-147.659713745117,1,8,1.13318467140198,6.05288696289062,5.65780639648438,0.769943237304688,0.616546630859375,0.769775390625,0.85260009765625,0.97210693359375,1.04379272460938,1.16445922851562,1.33279418945312,2.01760864257812,3.78933715820312,1.05237555503845,1.07834386825562,2.01779532432556,89,3,1,1,1,1,1,1,0,"1l","ATL08_20190226071235_09140205_003_01.h5","2019","02","26","071235"
"70162",639534,639538,65.1278228759766,-147.659973144531,1,8,1.23968255519867,5.12213134765625,4.77944946289062,0.815887451171875,0.6060791015625,0.815338134765625,0.980255126953125,1.27761840820312,1.31924438476562,1.6307373046875,1.81362915039062,2.6531982421875,4.02337646484375,1.01699030399323,0.570735454559326,2.11346483230591,89,7,1,1,1,1,1,1,0,"1l","ATL08_20190226071235_09140205_003_01.h5","2019","02","26","071235"
"78580",362237,362241,65.1277389526367,-147.391448974609,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,67,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78581",362242,362246,65.1286315917969,-147.391677856445,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,35,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78582",362247,362251,65.129524230957,-147.39192199707,0,7,2.57380962371826,10.8265075683594,10.8265075683594,1.09504699707031,0.806411743164062,1.09504699707031,1.71429443359375,2.60710144042969,3.92385864257812,4.96278381347656,5.80886840820312,7.26019287109375,7.52883911132812,2.61936616897583,1.64883422851562,2.01077127456665,45,2,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78583",362252,362256,65.1304168701172,-147.392166137695,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,37,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78584",362257,362261,65.1313095092773,-147.39241027832,0,7,2.28522038459778,10.4546966552734,9.45083618164062,1.01041412353516,0.696823120117188,0.998016357421875,1.31570434570312,1.79032897949219,2.17485046386719,3.48985290527344,5.59567260742188,5.96226501464844,8.94865417480469,2.60275769233704,0.701823592185974,2.15904545783997,46,4,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78585",362262,362266,65.1322021484375,-147.392639160156,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,56,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78586",362267,362271,65.1330947875977,-147.392883300781,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,40,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
